,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_rp21_1.pdb,18.109,0.7932745621991711,0.43,0.538,0.0,0.487,42.083,32.47,0.213,0.556,1.864,2.167,0.958,0.0,0.39,0.22,0.317,0.439,0.585,0.354
normalized_best_rp21_16.pdb,18.206,0.8083177251148215,0.508,0.647,0.0,0.553,35.858,28.49,0.166,0.588,1.848,2.067,0.624,0.0,0.366,0.171,0.244,0.439,0.61,0.341
normalized_best_rp21_86.pdb,18.206,0.8083176704711934,0.508,0.647,0.0,0.553,35.858,28.49,0.166,0.588,1.848,2.067,0.624,0.0,0.366,0.171,0.244,0.439,0.61,0.341
normalized_best_rp21_10.pdb,18.207,0.8083799667524165,0.511,0.538,0.0,0.623,35.652,29.29,0.197,0.593,1.873,2.085,0.942,0.0,0.378,0.195,0.293,0.463,0.561,0.37
normalized_ifoldrna_rp21_4.pdb,19.217,0.9240519744736758,0.227,0.0,0.0,0.371,84.654,36.74,0.179,0.529,1.975,2.637,0.376,0.0,0.22,0.146,0.146,0.268,0.317,0.004
normalized_ifoldrna_rp21_5.pdb,19.639,0.9522732610101583,0.191,0.0,0.0,0.336,103.081,34.59,0.128,0.503,2.037,2.555,0.374,0.0,0.189,0.122,0.146,0.22,0.268,0.006
normalized_rnacomposer_rp21.pdb,20.368,0.9808955679455357,0.529,0.614,,0.575,38.499,33.32,0.21,0.546,2.067,1.955,0.603,0.0,0.348,0.195,0.317,0.39,0.488,0.32
normalized_isrna_rp21.pdb,20.62,0.986529526008306,0.582,0.614,,0.659,35.437,29.06,0.206,0.605,2.078,1.907,0.723,0.0,0.348,0.171,0.268,0.415,0.537,0.355
normalized_vfoldpipeline_rp21.pdb,20.792,0.9895091061228702,0.519,0.614,,0.563,40.077,27.09,0.198,0.563,2.06,1.984,0.776,0.0,0.335,0.122,0.244,0.366,0.61,0.315
normalized_best_rp21_37.pdb,21.492,0.9965041893546065,0.353,0.0,0.0,0.548,60.921,31.87,0.182,0.509,2.193,2.375,0.797,0.0,0.232,0.122,0.171,0.244,0.39,0.246
normalized_ifoldrna_rp21_3.pdb,21.994,0.9985399777807757,0.21,0.0,,0.359,104.978,36.17,0.189,0.509,2.266,2.523,0.366,0.0,0.195,0.098,0.146,0.244,0.293,0.015
normalized_ifoldrna_rp21_2.pdb,22.763,0.9996669215496972,0.142,0.0,0.0,0.259,160.443,35.5,0.141,0.521,2.308,2.537,0.452,0.0,0.22,0.122,0.171,0.268,0.317,0.005
normalized_ifoldrna_rp21_1.pdb,23.851,0.9999693455559487,0.166,0.0,0.0,0.325,143.836,36.28,0.18,0.512,2.416,2.513,0.359,0.0,0.195,0.146,0.146,0.195,0.293,0.007
